2022/12/17 12:06:30.000 AM - 2022/12/17 12:06:40.000 AM,6881.4165,0.58524305,6.328704,1.0462962,10.046296,3.2129629
2022/12/17 12:06:40.000 AM - 2022/12/17 12:06:50.000 AM,6881.4165,0.58524305,6.328704,1.0462962,10.046296,3.2129629
2022/12/17 12:06:50.000 AM - 2022/12/17 12:07:00.000 AM,6881.4165,0.58524305,6.328704,1.0462962,10.046296,3.2129629
2022/12/17 12:07:00.000 AM - 2022/12/17 12:07:10.000 AM,6880.153,0.5845226,6.328704,1.0462962,9.45324,3.2129629
2022/12/17 12:07:10.000 AM - 2022/12/17 12:07:20.000 AM,6880.0415,0.58253473,6.328704,1.4977037,8.101851,3.712963
2022/12/17 12:07:20.000 AM - 2022/12/17 12:07:30.000 AM,6880.0415,0.58253473,6.3372593,2.0462964,8.101851,4.212963
2022/12/17 12:07:30.000 AM - 2022/12/17 12:07:40.000 AM,6880.0415,0.58253473,6.361111,2.0462964,8.101851,4.212963
2022/12/17 12:07:40.000 AM - 2022/12/17 12:07:50.000 AM,6880.0415,0.58253473,6.361111,2.0462964,8.101851,4.212963
2022/12/17 12:07:50.000 AM - 2022/12/17 12:08:00.000 AM,6880.0415,0.58253473,6.361111,2.0462964,8.101851,4.212963
2022/12/17 12:08:00.000 AM - 2022/12/17 12:08:10.000 AM,6881.5273,0.58245325,6.361111,1.5416574,9.650666,3.560963
2022/12/17 12:08:10.000 AM - 2022/12/17 12:08:20.000 AM,6881.722,0.58194447,6.361111,1.0185186,9.981482,3.2129629
2022/12/17 12:08:20.000 AM - 2022/12/17 12:08:30.000 AM,6881.722,0.58194447,6.351898,1.0185186,9.981482,3.2129629
2022/12/17 12:08:30.000 AM - 2022/12/17 12:08:40.000 AM,6881.722,0.58194447,6.314815,1.0185186,9.981482,3.2129629
2022/12/17 12:08:40.000 AM - 2022/12/17 12:08:50.000 AM,6881.722,0.58194447,6.314815,1.7586575,9.500297,3.2129629
2022/12/17 12:08:50.000 AM - 2022/12/17 12:09:00.000 AM,6881.722,0.58194447,6.314815,2.0324075,8.101851,3.7886157
2022/12/17 12:09:00.000 AM - 2022/12/17 12:09:10.000 AM,6888.553,0.58174014,6.314815,2.0324075,8.101851,4.2175927
2022/12/17 12:09:10.000 AM - 2022/12/17 12:09:20.000 AM,6889.972,0.5782292,6.314815,2.0324075,8.101851,4.2175927
2022/12/17 12:09:20.000 AM - 2022/12/17 12:09:30.000 AM,6889.972,0.5782292,6.317445,2.0324075,8.101851,4.2175927
2022/12/17 12:09:30.000 AM - 2022/12/17 12:09:40.000 AM,6889.972,0.5782292,6.3333335,2.0324075,9.007315,4.2175927
2022/12/17 12:09:40.000 AM - 2022/12/17 12:09:50.000 AM,6889.972,0.5782292,6.3333335,1.3989908,9.277778,3.5907037
2022/12/17 12:09:50.000 AM - 2022/12/17 12:10:00.000 AM,6889.972,0.5782292,6.3333335,1.0185186,9.277778,3.2129629
2022/12/17 12:10:00.000 AM - 2022/12/17 12:10:10.000 AM,6886.4062,0.5781997,6.3333335,1.0185186,9.277778,3.2129629
2022/12/17 12:10:10.000 AM - 2022/12/17 12:10:20.000 AM,6885.2363,0.5752778,6.3333335,1.5147455,9.277778,3.2129629
2022/12/17 12:10:20.000 AM - 2022/12/17 12:10:30.000 AM,6885.2363,0.5752778,6.3315277,2.0416667,9.277778,3.2129629
2022/12/17 12:10:30.000 AM - 2022/12/17 12:10:40.000 AM,6885.2363,0.5752778,6.310185,2.0416667,9.218116,4.1509633
2022/12/17 12:10:40.000 AM - 2022/12/17 12:10:50.000 AM,6885.2363,0.5752778,6.310185,2.0416667,9.050926,4.212963
2022/12/17 12:10:50.000 AM - 2022/12/17 12:11:00.000 AM,6885.2363,0.5752778,6.6051064,2.0416667,9.050926,4.212963
2022/12/17 12:11:00.000 AM - 2022/12/17 12:11:10.000 AM,6882.5317,0.5752778,6.675838,2.0416667,9.458806,4.212963
2022/12/17 12:11:10.000 AM - 2022/12/17 12:11:20.000 AM,6881.4165,0.57419777,6.328704,1.4670185,10.055555,4.212963
2022/12/17 12:11:20.000 AM - 2022/12/17 12:11:30.000 AM,6881.4165,0.57416666,6.328704,1.037037,10.055555,3.677963
2022/12/17 12:11:30.000 AM - 2022/12/17 12:11:40.000 AM,6881.4165,0.57416666,6.627079,1.037037,10.055555,3.2129629
2022/12/17 12:11:40.000 AM - 2022/12/17 12:11:50.000 AM,6881.4165,0.57416666,6.677454,1.037037,10.055555,3.2129629
2022/12/17 12:11:50.000 AM - 2022/12/17 12:12:00.000 AM,6881.4165,0.57416666,6.975227,1.7887037,10.055555,3.2129629
2022/12/17 12:12:00.000 AM - 2022/12/17 12:12:10.000 AM,6878.2305,0.57416666,6.9961343,2.0555556,9.818287,3.553963
2022/12/17 12:12:10.000 AM - 2022/12/17 12:12:20.000 AM,6876.375,0.5717925,6.6923103,2.0555556,9.106482,4.212963
2022/12/17 12:12:20.000 AM - 2022/12/17 12:12:30.000 AM,6876.375,0.571493,6.725324,2.0555556,9.106482,4.4631157
2022/12/17 12:12:30.000 AM - 2022/12/17 12:12:40.000 AM,6876.375,0.571493,7.1015186,2.0555556,9.106482,5.2175927
2022/12/17 12:12:40.000 AM - 2022/12/17 12:12:50.000 AM,6876.375,0.571493,7.0233936,2.0555556,9.946675,5.2175927
2022/12/17 12:12:50.000 AM - 2022/12/17 12:13:00.000 AM,6876.375,0.571493,6.573491,1.4109629,10.986111,4.47919
2022/12/17 12:13:00.000 AM - 2022/12/17 12:13:10.000 AM,6878.5024,0.571493,6.351019,1.0046296,10.986111,3.5328288
2022/12/17 12:13:10.000 AM - 2022/12/17 12:13:20.000 AM,6880.1943,0.57076305,6.3194447,1.0046296,10.986111,3.2083333
2022/12/17 12:13:20.000 AM - 2022/12/17 12:13:30.000 AM,6880.1943,0.570625,6.3194447,1.0046296,10.986111,3.2083333
2022/12/17 12:13:30.000 AM - 2022/12/17 12:13:40.000 AM,6880.1943,0.570625,6.3194447,1.2164212,10.986111,3.2083333
2022/12/17 12:13:40.000 AM - 2022/12/17 12:13:50.000 AM,6880.1943,0.570625,6.3194447,2.0277777,9.345486,3.8944955
2022/12/17 12:13:50.000 AM - 2022/12/17 12:14:00.000 AM,6880.1943,0.570625,6.3194447,2.0277777,9.111111,4.212963
2022/12/17 12:14:00.000 AM - 2022/12/17 12:14:10.000 AM,6884.1826,0.570625,6.3621297,2.0277777,9.111111,4.6267595
